Pos,Piloto,Equipo,Mejor Tiempo,Diferencia,Neumáticos
4,  M Alonso,Hispalis F1 Team,1:27.983,+ 0:00.714,S
5,  P Menarguez,Watiki F1 Team,1:28.098,+ 0:00.829,S
6,  R Brundle,Calamardiño RB,1:28.117,+ 0:00.848,S
7,  T Moss,Frenando Afondo F1 Team,1:28.119,+ 0:00.850,M
8,  A Çakıcı,Frenando Afondo F1 Team,1:28.160,+ 0:00.891,M
9,  N Turan,Saca Racing,1:28.619,+ 0:01.350,M
10,  L Jones,Saca Racing,1:28.623,+ 0:01.354,M
11,  S Belmonte,Azuaga Martin,1:34.508,+ 0:07.239,M
12,  M Walker,Azuaga Martin,1:34.856,+ 0:07.587,M
13,  A Garcia,DaniDesokupa,1:35.249,+ 0:07.980,M
14,  B Menarguez,DaniDesokupa,1:35.611,+ 0:08.342,M
1,  L Jones,Saca Racing,1:41.345,-,S
2,  N Turan,Saca Racing,1:41.346,+ 0:00.001,S
3,  J Torres,Hispalis F1 Team,1:41.388,+ 0:00.043,S
4,  M Alonso,Hispalis F1 Team,1:41.497,+ 0:00.152,M
5,  P Perez,Watiki F1 Team,1:41.508,+ 0:00.163,M
6,  A Çakıcı,Frenando Afondo F1 Team,1:41.569,+ 0:00.224,M
7,  T Moss,Frenando Afondo F1 Team,1:41.604,+ 0:00.259,M
8,  P Menarguez,Las Candelarias F1 Team,1:41.608,+ 0:00.263,M
9,  L Santos,Las Candelarias F1 Team,1:41.613,+ 0:00.268,M
10,  N Ferrari,Chandra Team,1:41.780,+ 0:00.435,M
11,  P Menarguez,Watiki F1 Team,1:41.781,+ 0:00.436,M
12,  M Parker,Calamardiño RB,1:41.784,+ 0:00.439,S
13,  R Brundle,Calamardiño RB,1:41.839,+ 0:00.494,S
14,  J Hunt,DaniDesokupa,1:41.876,+ 0:00.531,S
15,  B Menarguez,DaniDesokupa,1:41.903,+ 0:00.558,S
16,  J Brown,Chandra Team,1:41.906,+ 0:00.561,M
17,  T Betz,Azuaga Martin,1:43.797,+ 0:02.452,M
18,  E White,Azuaga Martin,1:43.804,+ 0:02.459,M
1,  A Çakıcı,Frenando Afondo F1 Team,1:50.684,-,S
2,  P Perez,Watiki F1 Team,1:50.691,+ 0:00.007,S
3,  R Brundle,Calamardiño RB,1:50.856,+ 0:00.172,SS
4,  P Menarguez,Watiki F1 Team,1:50.995,+ 0:00.311,S
5,  E White,Azuaga Martin,1:51.049,+ 0:00.365,M
6,  M Parker,Calamardiño RB,1:51.102,+ 0:00.418,S
7,  N Turan,Saca Racing,1:51.109,+ 0:00.425,M
8,  L Jones,Saca Racing,1:51.134,+ 0:00.450,M
9,  T Moss,Frenando Afondo F1 Team,1:51.139,+ 0:00.455,M
10,  M Alonso,Hispalis F1 Team,1:51.407,+ 0:00.723,S
11,  T Betz,Azuaga Martin,1:51.671,+ 0:00.987,M
12,  B Rios,Hispalis F1 Team,1:51.686,+ 0:01.002,S
13,  A Garcia,DaniDesokupa,1:57.551,+ 0:06.867,M
14,  B Menarguez,DaniDesokupa,1:57.599,+ 0:06.915,M
